                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.64,                 1.8223,                0.87936,                0.87971,                0.24568,                0.27314,                0.16648,                 1.2975,                 1.3009,                0.85043,             0.00041325,             0.00041325,             0.00041325
                      2,                 1.4211,                0.98634,                0.84268,                0.77828,                0.49931,                0.53699,                0.27965,                 1.4831,                0.88696,                0.84551,              0.0008217,              0.0008217,              0.0008217
                      3,                 1.4275,                0.89682,                0.84635,                0.78761,                0.52282,                0.57004,                0.33389,                 1.2613,                0.80233,                0.83117,              0.0012219,              0.0012219,              0.0012219
                      4,                 1.3407,                0.81585,                0.83253,                0.79347,                0.54984,                0.58907,                0.35184,                 1.2251,                0.75451,                0.83219,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.3163,                0.76513,                0.83085,                0.86661,                0.58638,                0.64818,                0.40865,                 1.1064,                0.65878,                0.82307,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.3113,                0.74156,                0.83004,                 0.8635,                0.60876,                0.67657,                0.43036,                  1.061,                0.62925,                0.81899,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.2534,                0.70832,                0.82335,                0.88639,                0.61702,                0.68244,                0.42104,                 1.0943,                0.60469,                0.82037,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2325,                0.68068,                0.81965,                0.80518,                 0.6143,                0.69875,                0.43177,                 1.0687,                0.61026,                0.81922,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.2127,                0.66186,                0.81953,                0.78507,                0.65528,                0.70063,                0.42863,                 1.0735,                0.60531,                 0.8147,               0.001151,               0.001151,               0.001151
                     10,                 1.1965,                0.63698,                0.81776,                0.79782,                0.67847,                0.71639,                0.44353,                 1.0339,                0.56592,                0.81491,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.2328,                0.64561,                 0.8203,                0.80914,                0.69134,                0.73257,                0.45949,                 1.0449,                0.56153,                0.81302,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1952,                0.63387,                0.81646,                0.81687,                0.66934,                0.71916,                0.44894,                 1.0751,                0.58291,                 0.8162,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1679,                 0.6208,                 0.8144,                0.78267,                0.66275,                0.72337,                0.43428,                 1.0649,                0.56402,                0.81381,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1658,                0.61252,                0.81409,                0.82788,                0.67842,                0.74696,                0.47943,                0.98665,                0.53366,                 0.8085,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1768,                 0.6076,                0.81429,                0.83092,                0.70498,                0.75442,                 0.4848,                0.97614,                0.53449,                0.80789,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1561,                0.60989,                0.81179,                0.82181,                0.71509,                0.75057,                0.47947,                 1.0108,                0.53536,                0.80815,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1396,                0.60053,                0.81067,                0.80881,                0.69937,                0.74791,                0.47747,                0.98091,                0.53564,                0.80892,               0.001052,               0.001052,               0.001052
                     18,                 1.1424,                0.59207,                0.81004,                0.84163,                0.70309,                 0.7637,                0.48948,                0.97047,                0.52727,                0.80665,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.1397,                0.58825,                0.81072,                0.80575,                0.72417,                0.75758,                0.49325,                0.96587,                0.51674,                0.80687,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.1475,                 0.5895,                0.81138,                 0.8046,                0.70874,                0.76339,                0.49207,                0.98483,                 0.5308,                0.80793,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.1239,                0.58151,                0.80703,                0.80509,                0.73064,                0.76785,                 0.5023,                0.95296,                0.50932,                0.80503,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.1321,                0.58226,                0.80741,                0.82856,                0.66403,                0.73938,                0.47637,                0.97908,                 0.5368,                0.80549,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.1155,                0.56952,                 0.8077,                0.82411,                 0.7367,                0.77451,                0.51278,                0.93639,                0.48374,                 0.8044,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0915,                0.55606,                0.80623,                0.82145,                0.72801,                0.77393,                0.51087,                0.92629,                0.49117,                0.80293,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.1016,                0.56209,                0.80717,                0.84682,                0.72573,                0.77849,                 0.5087,                0.92641,                0.48148,                0.80332,               0.000953,               0.000953,               0.000953
                     26,                 1.0941,                0.55745,                0.80546,                0.81217,                0.74333,                0.77171,                0.50868,                0.93399,                0.49006,                  0.803,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.0954,                0.55701,                 0.8059,                0.82524,                 0.7363,                 0.7815,                0.51265,                0.94661,                0.49583,                0.80394,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.0833,                0.54661,                0.80682,                0.82982,                0.73741,                 0.7841,                 0.5159,                0.94152,                0.48422,                0.80288,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.0959,                0.54937,                0.80406,                0.81757,                0.74039,                0.78206,                 0.5112,                0.96709,                 0.4933,                0.80405,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.0791,                0.54912,                0.80526,                0.81621,                0.75233,                0.79132,                0.51827,                0.93681,                0.47837,                0.80482,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.0743,                0.54423,                 0.8053,                0.82153,                0.74167,                0.78344,                 0.5222,                0.92821,                0.48431,                0.80222,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.0777,                0.53728,                 0.8037,                0.82726,                0.75038,                0.79269,                0.52799,                0.91833,                0.46835,                  0.801,             0.00086637,             0.00086637,             0.00086637
                     33,                   1.07,                0.53694,                 0.8023,                0.82068,                 0.7482,                0.78776,                0.52814,                0.91916,                0.47584,                0.80123,               0.000854,               0.000854,               0.000854
                     34,                 1.0574,                0.54021,                0.80381,                0.82097,                0.73235,                0.78367,                0.52152,                0.90507,                0.47643,                0.80065,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.0511,                0.53017,                0.80267,                0.81329,                0.75006,                0.78592,                0.52556,                0.91128,                0.47555,                0.80036,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.0641,                0.53799,                0.80269,                0.82447,                0.73897,                0.79494,                 0.5292,                0.91972,                0.47022,                0.80077,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.0595,                0.52807,                0.80028,                  0.849,                0.75476,                0.79898,                0.53862,                0.89285,                0.45732,                0.79978,              0.0008045,              0.0008045,              0.0008045
                     38,                  1.041,                0.52113,                0.80159,                0.83118,                0.75479,                0.80103,                0.54203,                0.89913,                0.45894,                0.79862,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.0603,                0.52727,                0.80238,                0.82246,                0.74234,                0.78559,                0.52548,                0.90174,                0.47163,                0.79892,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.0479,                0.52341,                0.80071,                0.83142,                0.75472,                 0.7926,                0.53242,                0.90109,                0.46202,                0.80047,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.0689,                0.52996,                0.80268,                0.85053,                0.74867,                0.80158,                0.54051,                0.89599,                0.45677,                0.79852,               0.000755,               0.000755,               0.000755
                     42,                 1.0586,                 0.5218,                 0.8016,                0.83063,                0.76923,                0.80541,                0.54277,                0.88271,                0.45225,                0.79897,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.0293,                0.51337,                0.80047,                0.84739,                0.74729,                0.79839,                  0.541,                0.87673,                0.45247,                0.79812,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.0334,                0.51547,                0.80035,                0.82512,                 0.7736,                0.80327,                0.54331,                0.88158,                 0.4508,                0.79774,             0.00071788,             0.00071788,             0.00071788
                     45,                  1.024,                0.51396,                0.80017,                0.82265,                0.76682,                0.80355,                 0.5452,                0.87628,                0.45268,                0.79791,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.0216,                0.51364,                0.79765,                0.84734,                0.75473,                0.80184,                 0.5415,                0.88297,                0.45823,                0.79854,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.0194,                0.50954,                0.79937,                0.83502,                0.75271,                0.80111,                0.54835,                 0.8677,                0.44746,                 0.7971,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.0178,                0.50839,                0.79882,                0.82553,                0.76314,                0.80593,                0.54889,                0.86967,                0.44306,                0.79685,             0.00066838,             0.00066838,             0.00066838
                     49,                  1.033,                0.51175,                0.79913,                0.84637,                0.77055,                0.80818,                0.55522,                 0.8656,                0.43943,                0.79606,               0.000656,               0.000656,               0.000656
                     50,                 1.0088,                0.50132,                0.79774,                0.85029,                0.77247,                0.80935,                0.55059,                0.87436,                0.44462,                0.79618,             0.00064362,             0.00064362,             0.00064362
                     51,                  1.007,                0.50178,                0.79736,                 0.8413,                0.77909,                0.81691,                0.56172,                0.86618,                0.44287,                0.79668,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.0008,                0.50142,                0.79734,                0.83263,                0.77589,                0.81635,                0.56358,                0.85255,                0.43658,                0.79567,             0.00061887,             0.00061887,             0.00061887
                     53,                 0.9878,                0.49445,                0.79741,                0.85666,                0.76974,                0.81572,                0.56097,                0.85513,                0.43103,                0.79586,              0.0006065,              0.0006065,              0.0006065
                     54,                0.99667,                0.49269,                0.79781,                0.84697,                0.77548,                0.81859,                  0.562,                0.85815,                 0.4285,                 0.7956,             0.00059413,             0.00059413,             0.00059413
                     55,                0.99243,                0.48963,                 0.7961,                0.84819,                0.77408,                0.81373,                0.56252,                0.84724,                0.42916,                0.79522,             0.00058175,             0.00058175,             0.00058175
                     56,                0.99903,                0.49525,                0.79934,                0.83993,                0.76819,                0.81088,                0.56033,                0.85244,                0.43122,                0.79535,             0.00056938,             0.00056938,             0.00056938
                     57,                0.99728,                0.49496,                 0.7961,                0.83984,                0.78298,                0.82035,                0.56004,                0.86696,                0.44005,                0.79585,               0.000557,               0.000557,               0.000557
                     58,                0.98146,                0.48431,                0.79637,                0.84082,                0.77306,                0.82102,                0.56258,                 0.8575,                0.42681,                0.79557,             0.00054463,             0.00054463,             0.00054463
                     59,                0.97625,                0.48343,                0.79635,                0.83654,                0.77189,                0.81879,                0.56263,                0.85688,                0.42733,                0.79554,             0.00053225,             0.00053225,             0.00053225
                     60,                0.98023,                0.48768,                0.79614,                0.81529,                0.78048,                0.81142,                 0.5622,                0.84787,                0.42742,                 0.7944,             0.00051988,             0.00051988,             0.00051988
                     61,                  0.971,                0.48091,                0.79521,                0.83018,                0.77622,                0.82186,                0.57106,                0.83623,                0.42115,                0.79417,              0.0005075,              0.0005075,              0.0005075
                     62,                 0.9878,                0.48793,                0.79523,                0.84334,                0.77721,                0.82217,                0.56864,                  0.859,                0.42359,                0.79546,             0.00049513,             0.00049513,             0.00049513
                     63,                0.97011,                0.47782,                0.79515,                0.85225,                0.78272,                0.82772,                 0.5775,                0.83631,                0.42156,                0.79402,             0.00048275,             0.00048275,             0.00048275
                     64,                0.97721,                0.48137,                0.79472,                0.84054,                0.78818,                 0.8221,                0.56646,                0.83717,                0.42418,                0.79345,             0.00047038,             0.00047038,             0.00047038
                     65,                0.97074,                0.47866,                0.79596,                0.82354,                0.78555,                0.82263,                0.57293,                0.83243,                0.41629,                0.79396,               0.000458,               0.000458,               0.000458
                     66,                0.97877,                 0.4803,                0.79583,                0.83254,                0.78479,                0.82615,                0.57078,                0.84305,                0.42052,                0.79388,             0.00044563,             0.00044563,             0.00044563
                     67,                 0.9618,                0.47417,                0.79512,                 0.8411,                0.76916,                 0.8159,                0.56089,                0.84744,                0.42147,                0.79449,             0.00043325,             0.00043325,             0.00043325
                     68,                0.97007,                0.47626,                0.79402,                0.84461,                0.78383,                 0.8242,                0.57701,                0.82889,                0.41186,                 0.7928,             0.00042087,             0.00042087,             0.00042087
                     69,                0.97112,                0.47613,                0.79546,                0.84229,                0.77669,                0.82114,                0.57597,                 0.8347,                0.41426,                0.79366,              0.0004085,              0.0004085,              0.0004085
                     70,                0.96931,                0.47897,                0.79348,                0.83015,                0.78918,                0.82113,                0.57299,                 0.8384,                0.41785,                0.79335,             0.00039613,             0.00039613,             0.00039613
                     71,                0.96353,                0.47065,                0.79429,                0.85187,                0.78804,                0.82982,                0.57825,                0.82477,                0.41021,                0.79249,             0.00038375,             0.00038375,             0.00038375
                     72,                0.96386,                0.47045,                0.79365,                0.85175,                0.78671,                0.82749,                0.57919,                0.82527,                0.41184,                0.79241,             0.00037138,             0.00037138,             0.00037138
                     73,                0.96002,                0.46951,                0.79244,                0.82149,                0.79574,                0.82413,                0.57898,                0.82543,                0.41324,                0.79227,               0.000359,               0.000359,               0.000359
                     74,                0.95697,                0.46614,                0.79342,                0.83886,                0.79045,                 0.8281,                0.58165,                0.82284,                0.40795,                0.79255,             0.00034663,             0.00034663,             0.00034663
                     75,                0.94717,                0.46136,                0.79287,                0.84362,                0.79238,                 0.8275,                0.58163,                 0.8176,                0.40633,                0.79196,             0.00033425,             0.00033425,             0.00033425
                     76,                0.94991,                0.46463,                0.79382,                0.85054,                 0.7852,                0.82716,                0.57926,                 0.8278,                0.40901,                0.79223,             0.00032188,             0.00032188,             0.00032188
                     77,                0.95474,                0.46434,                 0.7925,                 0.8381,                0.79329,                0.83201,                0.58253,                0.82502,                0.40639,                0.79265,              0.0003095,              0.0003095,              0.0003095
                     78,                  0.951,                0.45919,                0.79188,                0.83646,                0.79507,                0.82965,                 0.5846,                0.81639,                0.40507,                0.79156,             0.00029713,             0.00029713,             0.00029713
                     79,                0.95205,                0.46219,                0.79298,                0.83948,                0.79381,                0.82973,                 0.5847,                  0.812,                0.40112,                0.79165,             0.00028475,             0.00028475,             0.00028475
                     80,                0.95291,                0.46454,                0.79117,                0.82886,                0.78905,                0.82791,                0.58432,                0.80752,                0.39794,                0.79166,             0.00027237,             0.00027237,             0.00027237
                     81,                0.93587,                0.45615,                0.79175,                0.84148,                0.79273,                0.83083,                0.58572,                0.80746,                0.40184,                0.79092,                0.00026,                0.00026,                0.00026
                     82,                0.93936,                0.46149,                0.79297,                0.84394,                0.79319,                0.82998,                0.58584,                0.81062,                 0.4017,                0.79111,             0.00024762,             0.00024762,             0.00024762
                     83,                0.93379,                0.45404,                0.79222,                0.85946,                0.79093,                0.83291,                0.58955,                0.80572,                0.40049,                0.79122,             0.00023525,             0.00023525,             0.00023525
                     84,                0.92842,                0.45384,                0.79198,                0.84949,                0.79899,                0.83492,                 0.5908,                0.80151,                0.39712,                0.79078,             0.00022288,             0.00022288,             0.00022288
                     85,                0.93214,                0.45412,                0.79208,                0.85535,                0.79319,                0.83607,                 0.5917,                0.80281,                0.39584,                0.79071,              0.0002105,              0.0002105,              0.0002105
                     86,                0.93239,                0.45065,                0.79259,                0.84426,                 0.7999,                 0.8355,                0.59325,                0.80361,                0.39422,                0.79084,             0.00019813,             0.00019813,             0.00019813
                     87,                0.91933,                0.44533,                0.79027,                 0.8435,                 0.8034,                0.83854,                0.59268,                0.80088,                0.39576,                0.79038,             0.00018575,             0.00018575,             0.00018575
                     88,                 0.9232,                0.44858,                0.79241,                0.86289,                0.79115,                0.83648,                0.59207,                0.80087,                0.39371,                0.79054,             0.00017338,             0.00017338,             0.00017338
                     89,                0.91835,                0.44685,                0.78895,                0.85024,                0.79488,                0.83545,                0.59385,                0.79792,                0.39224,                0.79014,               0.000161,               0.000161,               0.000161
                     90,                0.92221,                0.44555,                0.79208,                0.85739,                0.79195,                0.83685,                0.59384,                 0.8039,                0.39101,                0.79097,             0.00014862,             0.00014862,             0.00014862
                     91,                0.86855,                0.43101,                0.79277,                0.85234,                0.78235,                0.82846,                0.58154,                0.81242,                0.40096,                0.79094,             0.00013625,             0.00013625,             0.00013625
                     92,                0.85722,                0.42279,                0.79133,                0.87566,                0.78261,                0.83685,                0.58569,                0.81059,                 0.3978,                0.79099,             0.00012387,             0.00012387,             0.00012387
                     93,                0.85396,                0.42147,                0.79227,                0.85915,                0.78686,                 0.8317,                0.58807,                0.80488,                0.39761,                0.79039,              0.0001115,              0.0001115,              0.0001115
                     94,                0.85404,                0.42091,                 0.7914,                0.86139,                0.79306,                0.83618,                0.58857,                0.80261,                0.39416,                0.79026,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.84078,                0.41699,                0.79123,                0.86314,                0.79542,                0.83749,                0.59252,                0.79986,                0.39049,                0.79053,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.84484,                0.41542,                0.79049,                0.86302,                 0.7969,                0.83839,                0.59328,                 0.8002,                0.38894,                0.79052,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.84966,                0.41581,                 0.7912,                0.86204,                0.79731,                 0.8384,                0.59302,                0.79744,                0.38879,                0.78982,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.84192,                0.41138,                0.79009,                0.87507,                0.79457,                0.84155,                0.59626,                0.79311,                0.38667,                0.78996,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.83884,                0.41128,                0.78948,                0.87144,                  0.795,                0.83875,                0.59585,                0.79285,                0.38595,                0.78984,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.83993,                0.41082,                0.79057,                  0.875,                0.79303,                0.83959,                0.59621,                0.78955,                0.38446,                0.78971,             2.4875e-05,             2.4875e-05,             2.4875e-05
